Ticker,Name,SPY,QQQ,XLK,XLF,XLC,XLY,XLP,XLE,XLV,XLI,XLB,XLRE,XLU,IGV,ITA,SOXX,SMH,ARKK
ALB,ALBEMARLE CORP,0.0387,-,-,-,-,-,-,-,-,-,2.9504,-,-,-,-,-,-,-
ON,ON SEMICONDUCTOR CORP,0.0423,-,0.2108,-,-,-,-,-,-,-,-,-,-,-,-,2.16,0.56,-
VRTX,VERTEX PHARMACEUTICALS INC,0.2018,0.63,-,-,-,-,-,-,2.1357,-,-,-,-,-,-,-,-,-
IRM,IRON MOUNTAIN INC,0.0453,-,-,-,-,-,-,-,-,-,-,2.9106,-,-,-,-,-,-
UNP,UNION PACIFIC CORP,0.2315,-,-,-,-,-,-,-,-,2.7178,-,-,-,-,-,-,-,-
SW,SMURFIT WESTROCK PLC,0.0376,-,-,-,-,-,-,-,-,-,2.8961,-,-,-,-,-,-,-
PFE,PFIZER INC,0.2529,-,-,-,-,-,-,-,2.6748,-,-,-,-,-,-,-,-,-
IP,INTERNATIONAL PAPER CO,0.0372,-,-,-,-,-,-,-,-,-,2.8768,-,-,-,-,-,-,-
ED,CONSOLIDATED EDISON INC,0.0637,-,-,-,-,-,-,-,-,-,-,-,2.8371,-,-,-,-,-
ADSK,AUTODESK INC,0.0958,0.3,0.4776,-,-,-,-,-,-,-,-,-,-,2.02,-,-,-,-
DHR,DANAHER CORP,0.2486,-,-,-,-,-,-,-,2.631,-,-,-,-,-,-,-,-,-
AXP,AMERICAN EXPRESS CO,0.324,-,-,2.5496,-,-,-,-,-,-,-,-,-,-,-,-,-,-
ETN,EATON CORP PLC,0.2223,-,-,-,-,-,-,-,-,2.611,-,-,-,-,-,-,-,-
BWXT,BWX TECHNOLOGIES INC,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.63,-,-,1.2
TRGP,TARGA RESOURCES CORP,0.0704,-,-,-,-,-,-,2.6876,-,-,-,-,-,-,-,-,-,-
IBM,INTL BUSINESS MACHINES CORP,0.4607,-,2.2972,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
TTD,TRADE DESK INC/THE  CLASS A,0.0238,-,-,-,1.8404,-,-,-,-,-,-,-,-,-,-,-,-,0.89
ADP,Automatic Data Processing Inc,0.1727,0.54,-,-,-,-,-,-,-,2.0282,-,-,-,-,-,-,-,-
WEC,WEC ENERGY GROUP INC,0.0602,-,-,-,-,-,-,-,-,-,-,-,2.6784,-,-,-,-,-
AVB,AVALONBAY COMMUNITIES INC,0.0418,-,-,-,-,-,-,-,-,-,-,2.6726,-,-,-,-,-,-
AMCR,AMCOR PLC,0.0346,-,-,-,-,-,-,-,-,-,2.6654,-,-,-,-,-,-,-
BSX,BOSTON SCIENTIFIC CORP,0.2328,-,-,-,-,-,-,-,2.4635,-,-,-,-,-,-,-,-,-
BMNR,BITMINE IMMERSION TECHNOLOGIES INC,-,-,-,-,-,-,-,-,-,-,-,-,-,0.29,-,-,-,2.4
KDP,KEURIG DR PEPPER INC,0.0627,0.2,-,-,-,-,2.4155,-,-,-,-,-,-,-,-,-,-,-
FTNT,FORTINET INC,0.0866,0.32,0.4319,-,-,-,-,-,-,-,-,-,-,1.82,-,-,-,-
SYY,SYSCO CORP,0.0672,-,-,-,-,-,2.5896,-,-,-,-,-,-,-,-,-,-,-
ABNB,AIRBNB INC CLASS A,0.0943,0.29,-,-,-,1.2563,-,-,-,-,-,-,-,-,-,-,-,1.01
